# 
{"kP":"10","kD":"0","kI":"0","density":"997","profile":["led: 25, 25, 25","dive: 5.0, 0.30, 30.00, 500.00"]}

led: 25, 25, 25
EX20, 00:08:49, 121.12, 2.03


# dive: 5.0, 0.30, 30.00, 500.00
EX20, 00:08:49, 100.56, -0.08
EX20, 00:08:49, 100.56, -0.08
EX20, 00:08:49, 100.57, -0.08
EX20, 00:08:49, 100.57, -0.08
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:50, 100.57, -0.07
EX20, 00:08:51, 100.57, -0.07
EX20, 00:08:51, 100.58, -0.07
EX20, 00:08:51, 100.57, -0.07
EX20, 00:08:51, 100.57, -0.07
EX20, 00:08:51, 100.57, -0.07
EX20, 00:08:51, 100.57, -0.07
EX20, 00:08:51, 100.57, -0.07
EX20, 00:08:51, 100.57, -0.07
EX20, 00:08:52, 100.57, -0.07
EX20, 00:08:52, 100.57, -0.07
EX20, 00:08:52, 100.57, -0.07
EX20, 00:08:52, 100.57, -0.07
EX20, 00:08:52, 100.57, -0.07
EX20, 00:08:52, 100.58, -0.07
EX20, 00:08:52, 100.58, -0.07
EX20, 00:08:53, 100.58, -0.07
EX20, 00:08:53, 100.58, -0.07
EX20, 00:08:53, 100.57, -0.07
EX20, 00:08:53, 100.56, -0.08
EX20, 00:08:53, 100.56, -0.08
EX20, 00:08:53, 100.56, -0.08

EX20, 00:08:53, 100.56, -0.08
EX20, 00:08:53, 100.57, -0.08
EX20, 00:08:54, 100.56, -0.08
EX20, 00:08:54, 100.57, -0.08
EX20, 00:08:54, 100.56, -0.08
EX20, 00:08:54, 100.56, -0.08
EX20, 00:08:54, 100.56, -0.08
EX20, 00:08:54, 100.56, -0.08
EX20, 00:08:54, 100.56, -0.08
EX20, 00:08:54, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:55, 100.56, -0.08
EX20, 00:08:56, 100.56, -0.08
EX20, 00:08:56, 100.56, -0.08
EX20, 00:08:56, 100.56, -0.08
EX20, 00:08:56, 100.56, -0.08
EX20, 00:08:56, 100.56, -0.08
EX20, 00:08:56, 100.56, -0.08
EX20, 00:08:56, 100.57, -0.08
EX20, 00:08:56, 100.57, -0.08
EX20, 00:08:57, 100.57, -0.07
EX20, 00:08:57, 100.57, -0.08
EX20, 00:08:57, 100.57, -0.07
EX20, 00:08:57, 100.57, -0.07
EX20, 00:08:57, 100.57, -0.07
EX20, 00:08:57, 100.56, -0.08
EX20, 00:08:57, 100.57, -0.07

EX20, 00:08:57, 100.57, -0.07
EX20, 00:08:58, 100.57, -0.07
EX20, 00:08:58, 100.57, -0.07
EX20, 00:08:58, 100.57, -0.07
EX20, 00:08:58, 100.57, -0.08
EX20, 00:08:58, 100.57, -0.07
EX20, 00:08:58, 100.57, -0.07
EX20, 00:08:58, 100.57, -0.07
EX20, 00:08:58, 100.57, -0.07
EX20, 00:08:59, 100.56, -0.08
EX20, 00:08:59, 100.56, -0.08
EX20, 00:08:59, 100.57, -0.07
EX20, 00:08:59, 100.56, -0.08
EX20, 00:08:59, 100.57, -0.07
EX20, 00:08:59, 100.57, -0.07
EX20, 00:08:59, 100.57, -0.07
EX20, 00:08:59, 100.57, -0.07
EX20, 00:09:00, 100.58, -0.07
EX20, 00:09:00, 100.58, -0.07
EX20, 00:09:00, 100.58, -0.07
EX20, 00:09:00, 100.58, -0.07
EX20, 00:09:00, 100.58, -0.07
EX20, 00:09:00, 100.58, -0.07
EX20, 00:09:00, 100.58, -0.07
EX20, 00:09:00, 100.57, -0.07
EX20, 00:09:01, 100.58, -0.07
EX20, 00:09:01, 100.58, -0.07
EX20, 00:09:01, 100.58, -0.07
EX20, 00:09:01, 100.58, -0.07
EX20, 00:09:01, 100.58, -0.07
EX20, 00:09:01, 100.58, -0.07
EX20, 00:09:01, 100.58, -0.07
EX20, 00:09:01, 100.58, -0.07

EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:02, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:03, 100.58, -0.07
EX20, 00:09:04, 100.58, -0.07
EX20, 00:09:04, 100.58, -0.07
EX20, 00:09:04, 100.58, -0.07
EX20, 00:09:04, 100.58, -0.07
EX20, 00:09:04, 100.58, -0.07
EX20, 00:09:04, 100.58, -0.07
EX20, 00:09:04, 100.57, -0.07
EX20, 00:09:05, 100.58, -0.07
EX20, 00:09:05, 100.58, -0.07
EX20, 00:09:05, 100.58, -0.07
EX20, 00:09:05, 100.58, -0.07
EX20, 00:09:05, 100.58, -0.07
EX20, 00:09:05, 100.58, -0.07
EX20, 00:09:05, 100.57, -0.07
EX20, 00:09:05, 100.58, -0.07
EX20, 00:09:06, 100.58, -0.07
EX20, 00:09:06, 100.57, -0.07

EX20, 00:09:06, 100.57, -0.07
EX20, 00:09:06, 100.58, -0.07
EX20, 00:09:06, 100.58, -0.07
EX20, 00:09:06, 100.58, -0.07
EX20, 00:09:06, 100.58, -0.07
EX20, 00:09:06, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:07, 100.58, -0.07
EX20, 00:09:08, 100.58, -0.07
EX20, 00:09:08, 100.58, -0.07
EX20, 00:09:08, 100.58, -0.07
EX20, 00:09:08, 100.58, -0.07
EX20, 00:09:08, 100.57, -0.07
EX20, 00:09:08, 100.58, -0.07
EX20, 00:09:08, 100.58, -0.07
EX20, 00:09:08, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:09, 100.58, -0.07
EX20, 00:09:10, 100.58, -0.07
EX20, 00:09:10, 100.58, -0.07
EX20, 00:09:10, 100.58, -0.07

EX20, 00:09:10, 100.57, -0.07
EX20, 00:09:10, 100.57, -0.07
EX20, 00:09:10, 100.58, -0.07
EX20, 00:09:10, 100.58, -0.07
EX20, 00:09:10, 100.59, -0.07
EX20, 00:09:11, 100.59, -0.07
EX20, 00:09:11, 100.58, -0.07
EX20, 00:09:11, 100.57, -0.07
EX20, 00:09:11, 100.58, -0.07
EX20, 00:09:11, 100.57, -0.07
EX20, 00:09:11, 100.58, -0.07
EX20, 00:09:11, 100.58, -0.07
EX20, 00:09:11, 100.57, -0.07
EX20, 00:09:12, 100.58, -0.07
EX20, 00:09:12, 100.57, -0.07
EX20, 00:09:12, 100.58, -0.07
EX20, 00:09:12, 100.57, -0.07
EX20, 00:09:12, 100.57, -0.07
EX20, 00:09:12, 100.57, -0.07
EX20, 00:09:12, 100.58, -0.07
EX20, 00:09:12, 100.58, -0.07
EX20, 00:09:13, 100.57, -0.07
EX20, 00:09:13, 100.57, -0.07
EX20, 00:09:13, 100.57, -0.07
EX20, 00:09:13, 100.56, -0.08
EX20, 00:09:13, 100.57, -0.07
EX20, 00:09:13, 100.57, -0.07
EX20, 00:09:13, 100.57, -0.07
EX20, 00:09:13, 100.58, -0.07
EX20, 00:09:14, 100.57, -0.07
EX20, 00:09:14, 100.58, -0.07
EX20, 00:09:14, 100.58, -0.07
EX20, 00:09:14, 100.57, -0.07

EX20, 00:09:14, 100.57, -0.07
EX20, 00:09:14, 100.57, -0.07
EX20, 00:09:14, 100.57, -0.07
