# 
{"kP":"","kD":"","kI":"","density":"997","profile":["led: 25, 25, 25","sink"]}

led: 25, 25, 25
EX20, 00:09:50, 100.64, -0.07


# sink
EX20, 00:09:50, 100.65, -0.07
EX20, 00:09:50, 100.65, -0.07
EX20, 00:09:50, 100.65, -0.07
EX20, 00:09:50, 100.65, -0.07
EX20, 00:09:50, 100.66, -0.07
EX20, 00:09:50, 100.66, -0.07
EX20, 00:09:50, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:51, 100.66, -0.07
EX20, 00:09:52, 100.67, -0.06
EX20, 00:09:52, 100.67, -0.06
EX20, 00:09:52, 100.67, -0.06
EX20, 00:09:52, 100.67, -0.06
EX20, 00:09:52, 100.67, -0.06
EX20, 00:09:52, 100.66, -0.07
EX20, 00:09:52, 100.66, -0.07
EX20, 00:09:52, 100.67, -0.06
EX20, 00:09:53, 100.67, -0.06
EX20, 00:09:53, 100.67, -0.06
EX20, 00:09:53, 100.66, -0.07
EX20, 00:09:53, 100.67, -0.06
EX20, 00:09:53, 100.67, -0.06
EX20, 00:09:53, 100.67, -0.06
EX20, 00:09:53, 100.67, -0.06
EX20, 00:09:54, 100.67, -0.06
EX20, 00:09:54, 100.67, -0.06
EX20, 00:09:54, 100.66, -0.07

EX20, 00:09:54, 100.67, -0.06
EX20, 00:09:54, 100.67, -0.06
EX20, 00:09:54, 100.66, -0.07
EX20, 00:09:54, 100.67, -0.06
EX20, 00:09:54, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:55, 100.67, -0.06
EX20, 00:09:56, 100.67, -0.06
EX20, 00:09:56, 100.67, -0.06
EX20, 00:09:56, 100.67, -0.06
EX20, 00:09:56, 100.67, -0.06
EX20, 00:09:56, 100.66, -0.07
EX20, 00:09:56, 100.66, -0.07
EX20, 00:09:56, 100.67, -0.06
EX20, 00:09:56, 100.67, -0.06
EX20, 00:09:57, 100.67, -0.06
EX20, 00:09:57, 100.67, -0.06
EX20, 00:09:57, 100.66, -0.07
EX20, 00:09:57, 100.67, -0.06
EX20, 00:09:57, 100.67, -0.06
EX20, 00:09:57, 100.66, -0.07
EX20, 00:09:57, 100.66, -0.07
EX20, 00:09:57, 100.67, -0.06
EX20, 00:09:58, 100.67, -0.06
EX20, 00:09:58, 100.67, -0.06
EX20, 00:09:58, 100.67, -0.06
EX20, 00:09:58, 100.67, -0.06

EX20, 00:09:58, 100.66, -0.07
EX20, 00:09:58, 100.66, -0.07
EX20, 00:09:58, 100.66, -0.07
EX20, 00:09:58, 100.67, -0.06
EX20, 00:09:59, 100.67, -0.06
EX20, 00:09:59, 100.67, -0.06
EX20, 00:09:59, 100.67, -0.06
EX20, 00:09:59, 100.66, -0.07
EX20, 00:09:59, 100.66, -0.07
EX20, 00:09:59, 100.66, -0.07
EX20, 00:09:59, 100.67, -0.06
EX20, 00:09:59, 100.66, -0.07
EX20, 00:10:00, 100.66, -0.07
EX20, 00:10:00, 100.66, -0.07
EX20, 00:10:00, 100.66, -0.07
EX20, 00:10:00, 100.67, -0.06
EX20, 00:10:00, 100.67, -0.06
EX20, 00:10:00, 100.67, -0.06
EX20, 00:10:00, 100.67, -0.06
EX20, 00:10:00, 100.66, -0.07
EX20, 00:10:01, 100.67, -0.06
EX20, 00:10:01, 100.67, -0.06
EX20, 00:10:01, 100.66, -0.07
EX20, 00:10:01, 100.66, -0.07
EX20, 00:10:01, 100.66, -0.07
EX20, 00:10:01, 100.67, -0.06
EX20, 00:10:01, 100.66, -0.07
EX20, 00:10:01, 100.67, -0.06
EX20, 00:10:02, 100.66, -0.07
EX20, 00:10:02, 100.66, -0.07
EX20, 00:10:02, 100.66, -0.07
EX20, 00:10:02, 100.67, -0.06
EX20, 00:10:02, 100.66, -0.07

EX20, 00:10:02, 100.66, -0.07
EX20, 00:10:02, 100.66, -0.07
EX20, 00:10:02, 100.66, -0.07
EX20, 00:10:03, 100.66, -0.07
EX20, 00:10:03, 100.67, -0.06
EX20, 00:10:03, 100.66, -0.07
EX20, 00:10:03, 100.66, -0.07
EX20, 00:10:03, 100.66, -0.07
EX20, 00:10:03, 100.66, -0.07
EX20, 00:10:03, 100.66, -0.07
EX20, 00:10:03, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:04, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:05, 100.66, -0.07
EX20, 00:10:06, 100.66, -0.07
EX20, 00:10:06, 100.66, -0.07
EX20, 00:10:06, 100.66, -0.07
EX20, 00:10:06, 100.66, -0.07
EX20, 00:10:06, 100.66, -0.07
EX20, 00:10:06, 100.66, -0.07

EX20, 00:10:06, 100.66, -0.07
EX20, 00:10:07, 100.66, -0.07
EX20, 00:10:07, 100.66, -0.07
EX20, 00:10:07, 100.66, -0.07
EX20, 00:10:07, 100.66, -0.07
EX20, 00:10:07, 100.66, -0.07
EX20, 00:10:07, 100.66, -0.07
EX20, 00:10:07, 100.67, -0.06
EX20, 00:10:07, 100.67, -0.06
EX20, 00:10:08, 100.66, -0.07
EX20, 00:10:08, 100.66, -0.07
EX20, 00:10:08, 100.66, -0.07
EX20, 00:10:08, 100.66, -0.07
EX20, 00:10:08, 100.66, -0.07
EX20, 00:10:08, 100.67, -0.06
EX20, 00:10:08, 100.67, -0.06
EX20, 00:10:08, 100.66, -0.07
EX20, 00:10:09, 100.67, -0.06
EX20, 00:10:09, 100.66, -0.07
EX20, 00:10:09, 100.67, -0.06
EX20, 00:10:09, 100.66, -0.07
EX20, 00:10:09, 100.66, -0.07
EX20, 00:10:09, 100.66, -0.07
EX20, 00:10:09, 100.67, -0.06
EX20, 00:10:09, 100.66, -0.07
EX20, 00:10:10, 100.67, -0.06
EX20, 00:10:10, 100.67, -0.06
EX20, 00:10:10, 100.67, -0.06
EX20, 00:10:10, 100.67, -0.06
EX20, 00:10:10, 100.66, -0.07
EX20, 00:10:10, 100.66, -0.07
EX20, 00:10:10, 100.66, -0.07
EX20, 00:10:10, 100.66, -0.07

EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:11, 100.66, -0.07
EX20, 00:10:12, 100.66, -0.07
EX20, 00:10:12, 100.67, -0.06
EX20, 00:10:12, 100.66, -0.07
EX20, 00:10:12, 100.66, -0.07
EX20, 00:10:12, 100.66, -0.07
EX20, 00:10:12, 100.67, -0.06
EX20, 00:10:12, 100.66, -0.07
EX20, 00:10:12, 100.66, -0.07
EX20, 00:10:13, 100.67, -0.06
EX20, 00:10:13, 100.66, -0.07
EX20, 00:10:13, 100.66, -0.07
EX20, 00:10:13, 100.66, -0.07
EX20, 00:10:13, 100.66, -0.07
EX20, 00:10:13, 100.67, -0.06
EX20, 00:10:13, 100.67, -0.06
EX20, 00:10:13, 100.66, -0.07
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:14, 100.67, -0.06
EX20, 00:10:15, 100.67, -0.06

EX20, 00:10:15, 100.67, -0.06
EX20, 00:10:15, 100.67, -0.06
EX20, 00:10:15, 100.67, -0.06
EX20, 00:10:15, 100.66, -0.07
EX20, 00:10:15, 100.67, -0.06
EX20, 00:10:15, 100.67, -0.06
EX20, 00:10:15, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:16, 100.67, -0.06
EX20, 00:10:17, 100.67, -0.06
EX20, 00:10:17, 100.67, -0.06
EX20, 00:10:17, 100.67, -0.06
EX20, 00:10:17, 100.67, -0.06
EX20, 00:10:17, 100.67, -0.06
EX20, 00:10:17, 100.67, -0.06
EX20, 00:10:17, 100.67, -0.06
EX20, 00:10:17, 100.68, -0.06
EX20, 00:10:18, 100.67, -0.06
EX20, 00:10:18, 100.67, -0.06
EX20, 00:10:18, 100.67, -0.06
EX20, 00:10:18, 100.67, -0.06
EX20, 00:10:18, 100.67, -0.06
EX20, 00:10:18, 100.67, -0.06
EX20, 00:10:18, 100.67, -0.06
EX20, 00:10:19, 100.67, -0.06
EX20, 00:10:19, 100.67, -0.06
EX20, 00:10:19, 100.67, -0.06

EX20, 00:10:19, 100.67, -0.06
EX20, 00:10:19, 100.67, -0.06
EX20, 00:10:19, 100.67, -0.06
EX20, 00:10:19, 100.67, -0.06
EX20, 00:10:19, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:20, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:21, 100.67, -0.06
EX20, 00:10:22, 100.67, -0.06
EX20, 00:10:22, 100.67, -0.06
EX20, 00:10:22, 100.67, -0.06
EX20, 00:10:22, 100.67, -0.06
