# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 10.00, 10.00"]}

dive: 2, 0.3, 10.00, 10.00
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:16, 0.01, -0.16
EX20, 00:04:17, 0.01, -0.16
EX20, 00:04:17, 0.01, -0.16
EX20, 00:04:17, 0.01, -0.16
EX20, 00:04:17, 0.01, -0.16
EX20, 00:04:17, 0.01, -0.16
EX20, 00:04:17, 0.01, -0.16
EX20, 00:04:17, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:18, 0.01, -0.16
EX20, 00:04:19, 0.01, -0.16
EX20, 00:04:19, 0.01, -0.16
EX20, 00:04:19, 0.01, -0.16
EX20, 00:04:19, 0.01, -0.16
EX20, 00:04:19, 0.01, -0.15
EX20, 00:04:19, 0.01, -0.16
EX20, 00:04:19, 0.01, -0.16
EX20, 00:04:19, 0.01, -0.16
EX20, 00:04:20, 0.01, -0.16
EX20, 00:04:20, 0.01, -0.16
EX20, 00:04:20, 0.01, -0.16
EX20, 00:04:20, 0.01, -0.15

EX20, 00:04:20, 0.01, -0.16
EX20, 00:04:20, 0.01, -0.16
EX20, 00:04:20, 0.01, -0.15
EX20, 00:04:20, 0.01, -0.16
EX20, 00:04:21, 0.01, -0.16
EX20, 00:04:21, 0.01, -0.15
EX20, 00:04:21, 0.01, -0.16
EX20, 00:04:21, 0.01, -0.16
EX20, 00:04:21, 0.01, -0.16
EX20, 00:04:21, 0.01, -0.15
EX20, 00:04:21, 0.01, -0.15
EX20, 00:04:21, 0.01, -0.15
EX20, 00:04:22, 0.01, -0.15
EX20, 00:04:22, 0.01, -0.15
EX20, 00:04:22, 0.01, -0.15
EX20, 00:04:22, 0.01, -0.15
EX20, 00:04:22, 0.01, -0.15
EX20, 00:04:22, 0.01, -0.15
EX20, 00:04:22, 0.01, -0.16
EX20, 00:04:23, 0.01, -0.16
EX20, 00:04:23, 0.01, -0.15
EX20, 00:04:23, 0.01, -0.16
EX20, 00:04:23, 0.01, -0.15
EX20, 00:04:23, 0.01, -0.15
EX20, 00:04:23, 0.01, -0.15
EX20, 00:04:23, 0.01, -0.15
EX20, 00:04:23, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15
EX20, 00:04:24, 0.01, -0.15

EX20, 00:04:25, 0.01, -0.16
EX20, 00:04:25, 0.01, -0.15
EX20, 00:04:25, 0.01, -0.16
EX20, 00:04:25, 0.01, -0.15
EX20, 00:04:25, 0.01, -0.15
EX20, 00:04:25, 0.01, -0.16
EX20, 00:04:25, 0.01, -0.15
EX20, 00:04:25, 0.01, -0.15
EX20, 00:04:26, 0.01, -0.15


# profile complete
