# 
{"kP":"0.01","kD":"0","kI":"0","density":"997","profile":["led: 25, 25, 25"]}

led: 25, 25, 25
EX20, 00:05:35, nan, -0.15
EX20, 00:05:35, nan, -0.15
EX20, 00:05:35, nan, -0.15
EX20, 00:05:35, nan, -0.15
EX20, 00:05:35, nan, -0.15
EX20, 00:05:35, nan, -0.15
EX20, 00:05:35, nan, -0.15
EX20, 00:05:35, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:36, nan, -0.15
EX20, 00:05:39, nan, -0.15


# profile complete
