# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: -1, 0.3, 30.00, 60.00"]}

dive: -1, 0.3, 30.00, 60.00
EX20, 00:02:50, 0.28, -0.10
EX20, 00:02:50, -0.00, -0.10
EX20, 00:02:50, -0.00, -0.10
EX20, 00:02:50, -0.00, -0.10
EX20, 00:02:50, -0.00, -0.10
EX20, 00:02:50, -0.00, -0.10
EX20, 00:02:50, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:51, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:52, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:53, -0.00, -0.10
EX20, 00:02:54, -0.00, -0.10
EX20, 00:02:54, -0.00, -0.10
EX20, 00:02:54, -0.00, -0.10

EX20, 00:02:54, -0.00, -0.10
EX20, 00:02:54, -0.00, -0.10
EX20, 00:02:54, -0.00, -0.10
EX20, 00:02:54, -0.00, -0.10
EX20, 00:02:54, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:55, -0.00, -0.10
EX20, 00:02:56, -0.00, -0.10
EX20, 00:02:56, -0.00, -0.10
EX20, 00:02:56, -0.00, -0.10
EX20, 00:02:56, -0.00, -0.10
EX20, 00:02:56, -0.00, -0.10
EX20, 00:02:56, -0.00, -0.10
EX20, 00:02:56, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:57, -0.00, -0.10
EX20, 00:02:58, -0.00, -0.10
EX20, 00:02:58, -0.00, -0.10
EX20, 00:02:58, -0.00, -0.10
EX20, 00:02:58, -0.00, -0.10
EX20, 00:02:58, -0.00, -0.10
EX20, 00:02:58, -0.00, -0.10

EX20, 00:02:58, -0.00, -0.10
EX20, 00:02:58, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:02:59, -0.00, -0.10
EX20, 00:03:00, -0.00, -0.10
EX20, 00:03:00, -0.00, -0.10
EX20, 00:03:00, -0.00, -0.10
EX20, 00:03:00, -0.00, -0.10
