# 
{"kP":"5","kD":"0","kI":"0","density":"997","profile":["led: 156,17,242","dive: 02.0, 0.30, 030.00, 200.00"]}

led: 156,17,242
EX20, 00:01:20, 0.00, -0.12


# dive: 02.0, 0.30, 030.00, 200.00
EX20, 00:01:20, 0.00, -0.12
EX20, 00:01:20, 10.58, -0.12
EX20, 00:01:20, 10.58, -0.11
EX20, 00:01:20, 10.58, -0.11
EX20, 00:01:20, 10.58, -0.11
EX20, 00:01:21, 10.58, -0.11
EX20, 00:01:21, 10.58, -0.11
EX20, 00:01:21, 10.58, -0.11
EX20, 00:01:21, 10.58, -0.11
EX20, 00:01:21, 10.57, -0.11
EX20, 00:01:21, 10.57, -0.11
EX20, 00:01:21, 10.57, -0.11
EX20, 00:01:21, 10.57, -0.11
EX20, 00:01:22, 10.57, -0.11
EX20, 00:01:22, 10.57, -0.11
EX20, 00:01:22, 10.57, -0.11
EX20, 00:01:22, 10.57, -0.11
EX20, 00:01:22, 10.57, -0.11
EX20, 00:01:22, 10.57, -0.11
EX20, 00:01:22, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:23, 10.57, -0.11
EX20, 00:01:24, 10.57, -0.11
EX20, 00:01:24, 10.57, -0.11
EX20, 00:01:24, 10.57, -0.11
EX20, 00:01:24, 10.57, -0.11
EX20, 00:01:24, 10.57, -0.11
EX20, 00:01:24, 10.57, -0.11

EX20, 00:01:24, 10.57, -0.11
EX20, 00:01:24, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
EX20, 00:01:25, 10.57, -0.11
