# 
{"kP":"3","kD":"0","kI":"0","density":"997","profile":["dive: -1, 0.3, 30.00, 30.00"]}

dive: -1, 0.3, 30.00, 30.00
EX20, 00:02:46, 0.08, -0.09
EX20, 00:02:46, -0.07, -0.09
EX20, 00:02:46, -0.07, -0.09
EX20, 00:02:46, -0.07, -0.09
EX20, 00:02:46, -0.07, -0.09
EX20, 00:02:46, -0.07, -0.09
EX20, 00:02:46, -0.07, -0.09
EX20, 00:02:46, -0.07, -0.09
EX20, 00:02:47, -0.07, -0.09
EX20, 00:02:47, -0.07, -0.09
EX20, 00:02:47, -0.07, -0.09
EX20, 00:02:47, -0.07, -0.09
EX20, 00:02:47, -0.07, -0.09
EX20, 00:02:47, -0.07, -0.09
EX20, 00:02:47, -0.07, -0.09
EX20, 00:02:48, -0.07, -0.09
EX20, 00:02:48, -0.07, -0.09
EX20, 00:02:48, -0.07, -0.09
EX20, 00:02:48, -0.07, -0.09
EX20, 00:02:48, -0.06, -0.09
EX20, 00:02:48, -0.06, -0.09
EX20, 00:02:48, -0.06, -0.09
EX20, 00:02:48, -0.06, -0.09
EX20, 00:02:49, -0.06, -0.09
EX20, 00:02:49, -0.06, -0.09
EX20, 00:02:49, -0.07, -0.09
EX20, 00:02:49, -0.07, -0.09
EX20, 00:02:49, -0.07, -0.09
EX20, 00:02:49, -0.07, -0.09
EX20, 00:02:49, -0.07, -0.09
EX20, 00:02:49, -0.07, -0.09
EX20, 00:02:50, -0.07, -0.09
EX20, 00:02:50, -0.07, -0.09
EX20, 00:02:50, -0.07, -0.09

EX20, 00:02:50, -0.07, -0.09
EX20, 00:02:50, -0.07, -0.09
EX20, 00:02:50, -0.07, -0.09
EX20, 00:02:50, -0.07, -0.09
EX20, 00:02:50, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:51, -0.07, -0.09
EX20, 00:02:52, -0.07, -0.09
EX20, 00:02:52, -0.07, -0.09
EX20, 00:02:52, -0.06, -0.09
EX20, 00:02:52, -0.06, -0.09
EX20, 00:02:52, -0.06, -0.09
EX20, 00:02:52, -0.06, -0.09
EX20, 00:02:52, -0.06, -0.09
EX20, 00:02:52, -0.06, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:53, -0.07, -0.09
EX20, 00:02:54, -0.07, -0.09
EX20, 00:02:54, -0.07, -0.09
EX20, 00:02:54, -0.07, -0.09
EX20, 00:02:54, -0.07, -0.09
EX20, 00:02:54, -0.07, -0.09

EX20, 00:02:54, -0.07, -0.09
EX20, 00:02:54, -0.07, -0.09
EX20, 00:02:54, -0.07, -0.09
EX20, 00:02:55, -0.07, -0.09
EX20, 00:02:55, -0.07, -0.09
EX20, 00:02:55, -0.06, -0.09
EX20, 00:02:55, -0.06, -0.09
EX20, 00:02:55, -0.06, -0.09
EX20, 00:02:55, -0.06, -0.09
EX20, 00:02:55, -0.06, -0.09
EX20, 00:02:56, -0.06, -0.09
EX20, 00:02:56, -0.07, -0.09
EX20, 00:02:56, -0.07, -0.09
EX20, 00:02:56, -0.07, -0.09
EX20, 00:02:56, -0.07, -0.09
EX20, 00:02:56, -0.07, -0.09
EX20, 00:02:56, -0.07, -0.09
EX20, 00:02:56, -0.07, -0.09
EX20, 00:02:57, -0.07, -0.09
EX20, 00:02:57, -0.07, -0.09
EX20, 00:02:57, -0.07, -0.09
EX20, 00:02:57, -0.07, -0.09
EX20, 00:02:57, -0.07, -0.09
EX20, 00:02:57, -0.06, -0.09
EX20, 00:02:57, -0.06, -0.09
EX20, 00:02:57, -0.06, -0.09
EX20, 00:02:58, -0.06, -0.09
EX20, 00:02:58, -0.06, -0.09
EX20, 00:02:58, -0.06, -0.09
EX20, 00:02:58, -0.07, -0.09
EX20, 00:02:58, -0.07, -0.09
EX20, 00:02:58, -0.07, -0.09
EX20, 00:02:58, -0.07, -0.09
EX20, 00:02:58, -0.07, -0.09

EX20, 00:02:59, -0.07, -0.09
EX20, 00:02:59, -0.07, -0.09
EX20, 00:02:59, -0.07, -0.09
EX20, 00:02:59, -0.07, -0.09
EX20, 00:02:59, -0.07, -0.09
EX20, 00:02:59, -0.07, -0.09
EX20, 00:02:59, -0.07, -0.09
EX20, 00:02:59, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:00, -0.07, -0.09
EX20, 00:03:01, -0.07, -0.09
EX20, 00:03:01, -0.07, -0.09
EX20, 00:03:01, -0.07, -0.09
EX20, 00:03:01, -0.07, -0.09
EX20, 00:03:01, -0.07, -0.09
EX20, 00:03:01, -0.07, -0.09
EX20, 00:03:01, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:02, -0.07, -0.09
EX20, 00:03:03, -0.07, -0.09
EX20, 00:03:03, -0.07, -0.09
EX20, 00:03:03, -0.07, -0.09

EX20, 00:03:03, -0.07, -0.09
EX20, 00:03:03, -0.07, -0.09
EX20, 00:03:03, -0.07, -0.09
EX20, 00:03:03, -0.07, -0.09
EX20, 00:03:03, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:04, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:05, -0.07, -0.09
EX20, 00:03:06, -0.07, -0.09
EX20, 00:03:06, -0.08, -0.09
EX20, 00:03:06, -0.08, -0.09
EX20, 00:03:06, -0.08, -0.09
EX20, 00:03:06, -0.08, -0.09
EX20, 00:03:06, -0.08, -0.09
EX20, 00:03:06, -0.08, -0.09
EX20, 00:03:06, -0.07, -0.09
EX20, 00:03:07, -0.07, -0.09
EX20, 00:03:07, -0.07, -0.09
EX20, 00:03:07, -0.07, -0.09
EX20, 00:03:07, -0.07, -0.09
EX20, 00:03:07, -0.07, -0.09

EX20, 00:03:07, -0.07, -0.09
EX20, 00:03:07, -0.07, -0.09
EX20, 00:03:07, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:08, -0.07, -0.09
EX20, 00:03:09, -0.07, -0.09
EX20, 00:03:09, -0.07, -0.09
EX20, 00:03:09, -0.07, -0.09
EX20, 00:03:09, -0.07, -0.09
EX20, 00:03:09, -0.07, -0.09
EX20, 00:03:09, -0.07, -0.09
EX20, 00:03:09, -0.07, -0.09
EX20, 00:03:10, -0.06, -0.09
EX20, 00:03:10, -0.06, -0.09
EX20, 00:03:10, -0.06, -0.09
EX20, 00:03:10, -0.06, -0.09
EX20, 00:03:10, -0.06, -0.09
EX20, 00:03:10, -0.06, -0.09
EX20, 00:03:10, -0.07, -0.09
EX20, 00:03:10, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09
EX20, 00:03:11, -0.07, -0.09

EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:12, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:13, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:14, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:15, -0.07, -0.09
EX20, 00:03:16, -0.07, -0.09


# profile complete
