# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 120.00"]}

dive: 2, 0.3, 30.00, 120.00
EX20, 00:07:15, -0.00, -0.08
EX20, 00:07:15, -0.00, -0.08
EX20, 00:07:16, -0.00, -0.08
EX20, 00:07:16, -0.00, -0.08
EX20, 00:07:16, -0.00, -0.08
EX20, 00:07:16, -0.00, -0.08
EX20, 00:07:16, -0.00, -0.08
EX20, 00:07:16, -0.00, -0.08
EX20, 00:07:16, -0.00, -0.08
EX20, 00:07:20, -0.00, -0.08
EX20, 00:07:20, -0.00, -0.08
EX20, 00:07:20, -0.00, -0.08
EX20, 00:07:20, -0.00, -0.08
EX20, 00:07:20, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:21, -0.00, -0.08
EX20, 00:07:22, -0.00, -0.08
EX20, 00:07:22, -0.00, -0.08
EX20, 00:07:22, -0.00, -0.08
EX20, 00:07:22, -0.00, -0.08
EX20, 00:07:22, -0.00, -0.08
EX20, 00:07:22, -0.00, -0.08
EX20, 00:07:22, -0.00, -0.08
EX20, 00:07:23, -0.00, -0.08
EX20, 00:07:23, -0.00, -0.08
EX20, 00:07:23, -0.00, -0.08
EX20, 00:07:23, -0.00, -0.08
EX20, 00:07:23, -0.00, -0.08

EX20, 00:07:23, -0.00, -0.08
EX20, 00:07:23, -0.00, -0.08
EX20, 00:07:23, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:24, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:25, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:26, -0.00, -0.08
EX20, 00:07:27, -0.00, -0.08
EX20, 00:07:27, -0.00, -0.08
EX20, 00:07:27, -0.00, -0.08
EX20, 00:07:27, -0.00, -0.08
EX20, 00:07:27, -0.00, -0.08
EX20, 00:07:27, -0.00, -0.08
EX20, 00:07:27, -0.00, -0.08

EX20, 00:07:27, -0.00, -0.08
EX20, 00:07:28, -0.00, -0.08
EX20, 00:07:28, -0.00, -0.08
EX20, 00:07:28, -0.00, -0.08
EX20, 00:07:28, -0.00, -0.08


# profile complete
