# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -10.0, 0.30, 30.00, 300.00"]}

dive: -10.0, 0.30, 30.00, 300.00
EX20, 00:01:21, 0.00, -0.10
EX20, 00:01:21, -9.90, -0.10
EX20, 00:01:21, -9.90, -0.10
EX20, 00:01:21, -9.90, -0.10
EX20, 00:01:21, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:22, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:23, -9.90, -0.10
EX20, 00:01:24, -9.90, -0.10
EX20, 00:01:24, -9.90, -0.10
EX20, 00:01:24, -9.90, -0.10
EX20, 00:01:24, -9.90, -0.10
EX20, 00:01:24, -9.90, -0.10
EX20, 00:01:24, -9.90, -0.10
EX20, 00:01:24, -9.90, -0.10
EX20, 00:01:25, -9.90, -0.10
EX20, 00:01:25, -9.90, -0.10
EX20, 00:01:25, -9.90, -0.10
EX20, 00:01:25, -9.90, -0.10
EX20, 00:01:25, -9.90, -0.10
EX20, 00:01:25, -9.90, -0.10

EX20, 00:01:25, -9.90, -0.10
EX20, 00:01:25, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:26, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:27, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:28, -9.90, -0.10
EX20, 00:01:29, -9.90, -0.10
EX20, 00:01:29, -9.90, -0.10
EX20, 00:01:29, -9.90, -0.10
EX20, 00:01:29, -9.90, -0.10
EX20, 00:01:29, -9.90, -0.10
EX20, 00:01:29, -9.90, -0.10
EX20, 00:01:29, -9.90, -0.10
EX20, 00:01:30, -9.90, -0.10

EX20, 00:01:30, -9.90, -0.10
EX20, 00:01:30, -9.90, -0.10
EX20, 00:01:30, -9.90, -0.10
EX20, 00:01:30, -9.90, -0.10
EX20, 00:01:30, -9.90, -0.10
EX20, 00:01:30, -9.90, -0.10
EX20, 00:01:30, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:31, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:32, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:33, -9.90, -0.10
EX20, 00:01:34, -9.90, -0.10
EX20, 00:01:34, -9.90, -0.10
EX20, 00:01:34, -9.90, -0.10

