# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 500.00","dive: 0.4, 0.3, 30.00, 500.00"]}

dive: 2, 0.3, 30.00, 500.00
EX20, 00:12:29, 0.01, 1.88
EX20, 00:12:29, nan, -0.07
EX20, 00:12:29, nan, -0.07
EX20, 00:12:29, nan, -0.07
EX20, 00:12:29, nan, -0.07
EX20, 00:12:29, nan, -0.07
EX20, 00:12:29, nan, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:30, 0.00, -0.07
EX20, 00:12:31, 0.00, -0.07
EX20, 00:12:31, 0.00, -0.07
EX20, 00:12:31, 0.00, -0.07
EX20, 00:12:31, 0.00, -0.07
EX20, 00:12:31, -0.00, -0.07
EX20, 00:12:31, -0.00, -0.07
EX20, 00:12:31, -0.00, -0.07
EX20, 00:12:31, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:32, -0.00, -0.07
EX20, 00:12:33, -0.00, -0.07
EX20, 00:12:33, -0.00, -0.07
EX20, 00:12:33, -0.00, -0.07
EX20, 00:12:33, -0.00, -0.06

EX20, 00:12:33, -0.00, -0.04
EX20, 00:12:33, -0.00, -0.03
EX20, 00:12:33, 0.09, -0.02
EX20, 00:12:33, 0.09, -0.01
EX20, 00:12:34, 0.09, 0.00
EX20, 00:12:34, 0.09, 0.02
EX20, 00:12:34, 0.09, 0.03
EX20, 00:12:34, 0.09, 0.04
EX20, 00:12:34, 0.08, 0.05
EX20, 00:12:34, 0.08, 0.06
EX20, 00:12:34, 0.08, 0.07
EX20, 00:12:35, 0.08, 0.08
EX20, 00:12:35, 0.08, 0.09
EX20, 00:12:35, 0.08, 0.10
EX20, 00:12:35, 0.07, 0.11
EX20, 00:12:35, 0.07, 0.12
EX20, 00:12:35, 0.07, 0.12
EX20, 00:12:35, 0.07, 0.13
EX20, 00:12:35, 0.07, 0.14
EX20, 00:12:36, 0.07, 0.15
EX20, 00:12:36, 0.06, 0.16
EX20, 00:12:36, 0.06, 0.17
EX20, 00:12:36, 0.06, 0.17
EX20, 00:12:36, 0.06, 0.18
EX20, 00:12:36, 0.06, 0.19
EX20, 00:12:36, 0.06, 0.19
EX20, 00:12:36, 0.05, 0.20
EX20, 00:12:37, 0.05, 0.20
EX20, 00:12:37, 0.05, 0.21
EX20, 00:12:37, 0.05, 0.22
EX20, 00:12:37, 0.05, 0.22
EX20, 00:12:37, 0.05, 0.23
EX20, 00:12:37, 0.04, 0.23
EX20, 00:12:37, 0.04, 0.24
EX20, 00:12:37, 0.04, 0.24
EX20, 00:12:38, 0.04, 0.25

EX20, 00:12:38, 0.04, 0.25
EX20, 00:12:38, 0.04, 0.26
EX20, 00:12:38, 0.03, 0.26
EX20, 00:12:38, 0.03, 0.26
EX20, 00:12:38, 0.03, 0.27
EX20, 00:12:38, 0.03, 0.27
EX20, 00:12:38, 0.03, 0.27
EX20, 00:12:39, 0.03, 0.28
EX20, 00:12:39, 0.02, 0.28
EX20, 00:12:39, 0.02, 0.28
EX20, 00:12:39, 0.02, 0.29
EX20, 00:12:39, 0.02, 0.29
EX20, 00:12:39, 0.02, 0.29
EX20, 00:12:39, 0.02, 0.30
EX20, 00:12:39, 0.02, 0.30
EX20, 00:12:40, 0.02, 0.30
EX20, 00:12:40, 0.02, 0.31
EX20, 00:12:40, 0.02, 0.31
EX20, 00:12:40, 0.02, 0.31
EX20, 00:12:40, 0.02, 0.32
EX20, 00:12:40, 0.03, 0.32
EX20, 00:12:40, 0.03, 0.32
EX20, 00:12:40, 0.03, 0.33
EX20, 00:12:41, 0.03, 0.33
EX20, 00:12:41, 0.03, 0.33
EX20, 00:12:41, 0.03, 0.34
EX20, 00:12:41, 0.03, 0.34
EX20, 00:12:41, 0.03, 0.34
EX20, 00:12:41, 0.03, 0.35
EX20, 00:12:41, 0.03, 0.35
EX20, 00:12:41, 0.03, 0.36
EX20, 00:12:42, 0.03, 0.36
EX20, 00:12:42, 0.04, 0.36
EX20, 00:12:42, 0.04, 0.37
EX20, 00:12:42, 0.04, 0.37
EX20, 00:12:42, 0.04, 0.38
EX20, 00:12:42, 0.04, 0.38

EX20, 00:12:42, 0.04, 0.39
EX20, 00:12:42, 0.04, 0.39
EX20, 00:12:43, 0.04, 0.40
EX20, 00:12:43, 0.04, 0.40
EX20, 00:12:43, 0.04, 0.41
EX20, 00:12:43, 0.04, 0.42
EX20, 00:12:43, 0.04, 0.42
EX20, 00:12:43, 0.04, 0.43
EX20, 00:12:43, 0.05, 0.43
EX20, 00:12:44, 0.05, 0.44
EX20, 00:12:44, 0.05, 0.45
EX20, 00:12:44, 0.05, 0.45
EX20, 00:12:44, 0.05, 0.46
EX20, 00:12:44, 0.05, 0.47
EX20, 00:12:44, 0.05, 0.47
EX20, 00:12:44, 0.05, 0.48
EX20, 00:12:44, 0.05, 0.49
EX20, 00:12:45, 0.05, 0.49
EX20, 00:12:45, 0.05, 0.50
EX20, 00:12:45, 0.05, 0.50
EX20, 00:12:45, 0.05, 0.51
EX20, 00:12:45, 0.05, 0.52
EX20, 00:12:45, 0.05, 0.52
EX20, 00:12:45, 0.05, 0.53
EX20, 00:12:45, 0.05, 0.53
EX20, 00:12:46, 0.05, 0.54
EX20, 00:12:46, 0.05, 0.55
EX20, 00:12:46, 0.05, 0.55
EX20, 00:12:46, 0.05, 0.56
EX20, 00:12:46, 0.05, 0.56
EX20, 00:12:46, 0.05, 0.57
EX20, 00:12:46, 0.05, 0.58
EX20, 00:12:46, 0.04, 0.58
EX20, 00:12:47, 0.04, 0.59
EX20, 00:12:47, 0.04, 0.59
EX20, 00:12:47, 0.04, 0.60
EX20, 00:12:47, 0.04, 0.60

EX20, 00:12:47, 0.04, 0.61
EX20, 00:12:47, 0.04, 0.61
EX20, 00:12:47, 0.04, 0.62
EX20, 00:12:47, 0.04, 0.62
EX20, 00:12:48, 0.04, 0.62
EX20, 00:12:48, 0.04, 0.63
EX20, 00:12:48, 0.04, 0.63
EX20, 00:12:48, 0.03, 0.64
EX20, 00:12:48, 0.03, 0.64
EX20, 00:12:48, 0.03, 0.65
EX20, 00:12:48, 0.03, 0.65
EX20, 00:12:48, 0.03, 0.65
EX20, 00:12:49, 0.03, 0.66
EX20, 00:12:49, 0.03, 0.66
EX20, 00:12:49, 0.03, 0.67
EX20, 00:12:49, 0.03, 0.67
EX20, 00:12:49, 0.03, 0.67
EX20, 00:12:49, 0.03, 0.68
EX20, 00:12:49, 0.03, 0.68
EX20, 00:12:49, 0.03, 0.69
EX20, 00:12:50, 0.03, 0.69
EX20, 00:12:50, 0.03, 0.69
EX20, 00:12:50, 0.03, 0.70
EX20, 00:12:50, 0.03, 0.70
EX20, 00:12:50, 0.03, 0.70
EX20, 00:12:50, 0.03, 0.71
EX20, 00:12:50, 0.03, 0.71
EX20, 00:12:51, 0.03, 0.72
EX20, 00:12:51, 0.03, 0.72
EX20, 00:12:51, 0.03, 0.72
EX20, 00:12:51, 0.03, 0.73
EX20, 00:12:51, 0.03, 0.73
EX20, 00:12:51, 0.03, 0.74
EX20, 00:12:51, 0.03, 0.74
EX20, 00:12:51, 0.03, 0.74
EX20, 00:12:52, 0.03, 0.75
EX20, 00:12:52, 0.03, 0.75

EX20, 00:12:52, 0.03, 0.76
EX20, 00:12:52, 0.03, 0.76
EX20, 00:12:52, 0.03, 0.76
EX20, 00:12:52, 0.03, 0.77
EX20, 00:12:52, 0.03, 0.77
EX20, 00:12:52, 0.03, 0.78
EX20, 00:12:53, 0.04, 0.78
EX20, 00:12:53, 0.04, 0.79
EX20, 00:12:53, 0.04, 0.79
EX20, 00:12:53, 0.04, 0.80
EX20, 00:12:53, 0.04, 0.80
EX20, 00:12:53, 0.04, 0.81
EX20, 00:12:53, 0.04, 0.81
EX20, 00:12:53, 0.04, 0.81
EX20, 00:12:54, 0.04, 0.82
EX20, 00:12:54, 0.04, 0.82
EX20, 00:12:54, 0.04, 0.83
EX20, 00:12:54, 0.04, 0.83
EX20, 00:12:54, 0.04, 0.84
EX20, 00:12:54, 0.04, 0.84
EX20, 00:12:54, 0.04, 0.85
EX20, 00:12:54, 0.04, 0.85
EX20, 00:12:55, 0.04, 0.86
EX20, 00:12:55, 0.04, 0.86
EX20, 00:12:55, 0.04, 0.87
EX20, 00:12:55, 0.04, 0.87
EX20, 00:12:55, 0.04, 0.88
EX20, 00:12:55, 0.04, 0.88
EX20, 00:12:55, 0.04, 0.88
EX20, 00:12:55, 0.04, 0.89
EX20, 00:12:56, 0.03, 0.89
EX20, 00:12:56, 0.03, 0.90
