# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 500.00","dive: 0.4, 0.3, 30.00, 500.00","dive: 2, 0.3, 30.00, 500.00","dive: 0.4, 0.3, 30.00, 500.00"]}

dive: 2, 0.3, 30.00, 500.00
EX20, 00:23:29, 0.02, 0.56
EX20, 00:23:29, nan, -0.07
EX20, 00:23:30, nan, -0.07
EX20, 00:23:30, nan, -0.07
EX20, 00:23:30, nan, -0.07
EX20, 00:23:30, nan, -0.07
EX20, 00:23:30, nan, -0.07
EX20, 00:23:30, 0.00, -0.07
EX20, 00:23:30, 0.00, -0.07
EX20, 00:23:30, 0.00, -0.07
EX20, 00:23:31, 0.00, -0.07
EX20, 00:23:31, 0.00, -0.07
EX20, 00:23:31, 0.00, -0.07
EX20, 00:23:31, -0.00, -0.07
EX20, 00:23:31, -0.00, -0.07
EX20, 00:23:31, -0.00, -0.07
EX20, 00:23:31, -0.00, -0.07
EX20, 00:23:31, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:32, -0.00, -0.07
EX20, 00:23:33, -0.00, -0.07
EX20, 00:23:33, -0.00, -0.07
EX20, 00:23:33, -0.00, -0.07
EX20, 00:23:33, -0.00, -0.07
EX20, 00:23:33, -0.00, -0.07
EX20, 00:23:33, 0.00, -0.07
EX20, 00:23:33, 0.00, -0.07
EX20, 00:23:33, 0.00, -0.07
EX20, 00:23:34, 0.00, -0.07

EX20, 00:23:34, 0.00, -0.07
EX20, 00:23:34, 0.00, -0.07
EX20, 00:23:34, -0.00, -0.07
EX20, 00:23:34, -0.00, -0.07
EX20, 00:23:34, -0.00, -0.07
EX20, 00:23:34, -0.00, -0.07
EX20, 00:23:34, -0.00, -0.07
EX20, 00:23:35, -0.00, -0.07
EX20, 00:23:35, -0.00, -0.07
EX20, 00:23:35, -0.00, -0.07
EX20, 00:23:35, -0.00, -0.07
EX20, 00:23:35, -0.00, -0.07
EX20, 00:23:35, -0.00, -0.07
EX20, 00:23:35, -0.00, -0.07
EX20, 00:23:36, 0.00, -0.07
EX20, 00:23:36, 0.00, -0.07
EX20, 00:23:36, 0.00, -0.07
EX20, 00:23:36, 0.00, -0.07
EX20, 00:23:36, 0.00, -0.07
EX20, 00:23:36, 0.00, -0.07
EX20, 00:23:36, -0.00, -0.07
EX20, 00:23:36, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:37, -0.00, -0.07
EX20, 00:23:38, -0.00, -0.07
EX20, 00:23:38, -0.00, -0.07
EX20, 00:23:38, 0.00, -0.07
EX20, 00:23:38, 0.00, -0.07

EX20, 00:23:38, 0.00, -0.07
EX20, 00:23:38, 0.00, -0.07
EX20, 00:23:38, 0.00, -0.07
EX20, 00:23:38, 0.00, -0.07
EX20, 00:23:39, -0.00, -0.07
EX20, 00:23:39, -0.00, -0.07
EX20, 00:23:39, -0.00, -0.07
EX20, 00:23:39, -0.00, -0.07
EX20, 00:23:39, -0.00, -0.07
EX20, 00:23:39, -0.00, -0.07
EX20, 00:23:39, 0.00, -0.07
EX20, 00:23:39, 0.00, -0.07
EX20, 00:23:40, 0.00, -0.07
EX20, 00:23:40, 0.00, -0.07
