# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -10.0, 0.30, 30.00, 300.00","surface"]}

dive: -10.0, 0.30, 30.00, 300.00
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:53, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:54, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:55, -9.91, -0.09
EX20, 00:01:56, -9.91, -0.09
EX20, 00:01:56, -9.91, -0.09
EX20, 00:01:56, -9.91, -0.09
EX20, 00:01:56, -9.91, -0.09
EX20, 00:01:56, -9.91, -0.09
EX20, 00:01:56, -9.91, -0.08
EX20, 00:01:56, -9.91, -0.08
EX20, 00:01:57, -9.91, -0.08
EX20, 00:01:57, -9.92, -0.08

EX20, 00:01:57, -9.92, -0.08
EX20, 00:01:57, -9.92, -0.08
EX20, 00:01:57, -9.92, -0.08
EX20, 00:01:57, -9.92, -0.08
EX20, 00:01:57, -9.92, -0.08
EX20, 00:01:57, -9.92, -0.08
EX20, 00:01:58, -9.92, -0.09
EX20, 00:01:58, -9.91, -0.09
EX20, 00:01:58, -9.91, -0.09
EX20, 00:01:58, -9.91, -0.09
EX20, 00:01:58, -9.91, -0.09
EX20, 00:01:58, -9.91, -0.09
EX20, 00:01:58, -9.91, -0.09
EX20, 00:01:58, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:01:59, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:00, -9.91, -0.09
EX20, 00:02:01, -9.91, -0.09
EX20, 00:02:01, -9.91, -0.09
EX20, 00:02:01, -9.91, -0.09
EX20, 00:02:01, -9.91, -0.09

EX20, 00:02:01, -9.91, -0.09
EX20, 00:02:01, -9.91, -0.09
EX20, 00:02:01, -9.91, -0.09
EX20, 00:02:01, -9.91, -0.09
EX20, 00:02:02, -9.91, -0.09
EX20, 00:02:02, -9.91, -0.09
EX20, 00:02:02, -9.91, -0.09
EX20, 00:02:02, -9.91, -0.09
