# 
{"kP":"10","kD":"0","kI":"0","density":"997","profile":["led: 3, 252, 207","dive: -5.0, 0.30, 30.00, 500.00"]}

led: 3, 252, 207
EX20, 00:03:26, 100.60, -0.07


# dive: -5.0, 0.30, 30.00, 500.00
EX20, 00:03:26, 100.60, -0.07
EX20, 00:03:26, 100.60, -0.07
EX20, 00:03:26, 100.61, -0.07
EX20, 00:03:26, 100.61, -0.07
EX20, 00:03:26, 100.61, -0.07
EX20, 00:03:26, 100.61, -0.07
EX20, 00:03:26, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:27, 100.61, -0.07
EX20, 00:03:28, 100.61, -0.07
EX20, 00:03:28, 100.61, -0.07
EX20, 00:03:28, 100.62, -0.07
EX20, 00:03:28, 100.62, -0.07
EX20, 00:03:28, 100.62, -0.07
EX20, 00:03:28, 100.62, -0.07
EX20, 00:03:28, 100.62, -0.07
EX20, 00:03:28, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:29, 100.62, -0.07
EX20, 00:03:30, 100.62, -0.07
EX20, 00:03:30, 100.62, -0.07

EX20, 00:03:30, 100.62, -0.07
EX20, 00:03:30, 100.61, -0.07
EX20, 00:03:30, 100.62, -0.07
EX20, 00:03:30, 100.62, -0.07
EX20, 00:03:30, 100.62, -0.07
EX20, 00:03:30, 100.62, -0.07
EX20, 00:03:31, 100.62, -0.07
EX20, 00:03:31, 100.62, -0.07
EX20, 00:03:31, 100.61, -0.07
EX20, 00:03:31, 100.62, -0.07
EX20, 00:03:31, 100.61, -0.07
EX20, 00:03:31, 100.62, -0.07
EX20, 00:03:31, 100.62, -0.07
EX20, 00:03:31, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:32, 100.62, -0.07
EX20, 00:03:33, 100.62, -0.07
EX20, 00:03:33, 100.62, -0.07
EX20, 00:03:33, 100.62, -0.07
EX20, 00:03:33, 100.61, -0.07
EX20, 00:03:33, 100.61, -0.07
EX20, 00:03:33, 100.61, -0.07
EX20, 00:03:33, 100.61, -0.07
EX20, 00:03:34, 100.61, -0.07
EX20, 00:03:34, 100.60, -0.07
EX20, 00:03:34, 100.60, -0.07
EX20, 00:03:34, 100.58, -0.07

EX20, 00:03:34, 100.57, -0.07
EX20, 00:03:34, 100.57, -0.08
EX20, 00:03:34, 100.57, -0.07
EX20, 00:03:34, 100.57, -0.07
EX20, 00:03:35, 100.57, -0.07
EX20, 00:03:35, 100.58, -0.07
EX20, 00:03:35, 100.58, -0.07
EX20, 00:03:35, 100.58, -0.07
EX20, 00:03:35, 100.58, -0.07
EX20, 00:03:35, 100.58, -0.07
EX20, 00:03:35, 100.59, -0.07
EX20, 00:03:35, 100.59, -0.07
EX20, 00:03:36, 100.59, -0.07
EX20, 00:03:36, 100.60, -0.07
EX20, 00:03:36, 100.59, -0.07
EX20, 00:03:36, 100.59, -0.07
EX20, 00:03:36, 100.59, -0.07
EX20, 00:03:36, 100.59, -0.07
EX20, 00:03:36, 100.59, -0.07
EX20, 00:03:36, 100.59, -0.07
EX20, 00:03:37, 100.60, -0.07
EX20, 00:03:37, 100.59, -0.07
EX20, 00:03:37, 100.59, -0.07
EX20, 00:03:37, 100.59, -0.07
EX20, 00:03:37, 100.60, -0.07
EX20, 00:03:37, 100.60, -0.07
EX20, 00:03:37, 100.60, -0.07
EX20, 00:03:37, 100.60, -0.07
EX20, 00:03:38, 100.60, -0.07
EX20, 00:03:38, 100.59, -0.07
EX20, 00:03:38, 100.59, -0.07
EX20, 00:03:38, 100.59, -0.07
EX20, 00:03:38, 100.59, -0.07

EX20, 00:03:38, 100.60, -0.07
EX20, 00:03:38, 100.59, -0.07
EX20, 00:03:38, 100.59, -0.07
EX20, 00:03:39, 100.59, -0.07
EX20, 00:03:39, 100.59, -0.07
EX20, 00:03:39, 100.59, -0.07
EX20, 00:03:39, 100.60, -0.07
EX20, 00:03:39, 100.60, -0.07
EX20, 00:03:39, 100.59, -0.07
EX20, 00:03:39, 100.59, -0.07
EX20, 00:03:39, 100.59, -0.07
EX20, 00:03:40, 100.60, -0.07
EX20, 00:03:40, 100.60, -0.07
EX20, 00:03:40, 100.60, -0.07
EX20, 00:03:40, 100.60, -0.07
EX20, 00:03:40, 100.59, -0.07
EX20, 00:03:40, 100.60, -0.07
EX20, 00:03:40, 100.60, -0.07
EX20, 00:03:40, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:41, 100.60, -0.07
EX20, 00:03:42, 100.63, -0.07
EX20, 00:03:42, 100.64, -0.07
EX20, 00:03:42, 100.68, -0.06
EX20, 00:03:42, 100.84, -0.05
EX20, 00:03:42, 101.07, -0.02
EX20, 00:03:42, 101.24, -0.01

EX20, 00:03:42, 101.31, 0.00
EX20, 00:03:42, 101.27, -0.00
EX20, 00:03:43, 101.18, -0.01
EX20, 00:03:43, 101.14, -0.02
EX20, 00:03:43, 101.18, -0.01
EX20, 00:03:43, 101.23, -0.01
EX20, 00:03:43, 101.28, -0.00
EX20, 00:03:43, 101.31, 0.00
EX20, 00:03:43, 101.28, -0.00
EX20, 00:03:43, 101.23, -0.01
EX20, 00:03:44, 101.20, -0.01
EX20, 00:03:44, 101.18, -0.01
EX20, 00:03:44, 101.25, -0.00
EX20, 00:03:44, 101.63, 0.03
EX20, 00:03:44, 103.01, 0.17
EX20, 00:03:44, 103.87, 0.26
EX20, 00:03:44, 104.55, 0.33
EX20, 00:03:44, 105.06, 0.38
EX20, 00:03:45, 105.53, 0.43
EX20, 00:03:45, 105.93, 0.47
EX20, 00:03:45, 106.29, 0.51
EX20, 00:03:45, 106.62, 0.54
EX20, 00:03:45, 106.87, 0.57
EX20, 00:03:45, 107.13, 0.60
