# 
{"kP":"2","kD":"0","kI":"0","density":"997","profile":["dive: 1.4, 0.30, 30.00, 300.00","surface"]}

dive: 1.4, 0.30, 30.00, 300.00
EX20, 00:22:52, 0.00, 0.02
EX20, 00:22:52, 3.00, -0.10
EX20, 00:22:52, 3.00, -0.10
EX20, 00:22:52, 3.00, -0.10
EX20, 00:22:52, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:53, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:54, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:55, 3.00, -0.10
EX20, 00:22:56, 3.00, -0.10
EX20, 00:22:56, 3.00, -0.10
EX20, 00:22:56, 3.00, -0.10
EX20, 00:22:56, 3.00, -0.10
EX20, 00:22:56, 3.00, -0.10
EX20, 00:22:56, 3.00, -0.10

EX20, 00:22:56, 3.00, -0.10
EX20, 00:22:56, 3.00, -0.10
EX20, 00:22:57, 3.00, -0.10
EX20, 00:22:57, 3.00, -0.09
EX20, 00:22:57, 3.00, -0.09
EX20, 00:22:57, 3.00, -0.09
EX20, 00:22:57, 2.97, -0.08
EX20, 00:22:57, 2.97, -0.08
EX20, 00:22:57, 2.97, -0.08
EX20, 00:22:57, 2.97, -0.07
EX20, 00:22:58, 2.97, -0.07
EX20, 00:22:58, 2.97, -0.06
EX20, 00:22:58, 2.97, -0.06
EX20, 00:22:58, 2.97, -0.05
EX20, 00:22:58, 2.90, -0.05
EX20, 00:22:58, 2.90, -0.04
EX20, 00:22:58, 2.90, -0.04
EX20, 00:22:59, 2.90, -0.04
EX20, 00:22:59, 2.90, -0.03
EX20, 00:22:59, 2.90, -0.03
EX20, 00:22:59, 2.90, -0.02
EX20, 00:22:59, 2.90, -0.02
EX20, 00:22:59, 2.83, -0.01
EX20, 00:22:59, 2.83, -0.00
EX20, 00:22:59, 2.83, 0.00
EX20, 00:23:00, 2.83, 0.01
EX20, 00:23:00, 2.83, 0.02
EX20, 00:23:00, 2.83, 0.02
EX20, 00:23:00, 2.83, 0.03
EX20, 00:23:00, 2.83, 0.04
EX20, 00:23:00, 2.72, 0.05
EX20, 00:23:00, 2.72, 0.06
EX20, 00:23:00, 2.72, 0.06
EX20, 00:23:01, 2.72, 0.07
EX20, 00:23:01, 2.72, 0.08
EX20, 00:23:01, 2.72, 0.09

EX20, 00:23:01, 2.72, 0.10
EX20, 00:23:01, 2.72, 0.11
EX20, 00:23:01, 2.57, 0.12
EX20, 00:23:01, 2.57, 0.13
EX20, 00:23:01, 2.57, 0.14
EX20, 00:23:02, 2.57, 0.15
EX20, 00:23:02, 2.57, 0.17
EX20, 00:23:02, 2.57, 0.18
EX20, 00:23:02, 2.57, 0.19
EX20, 00:23:02, 2.57, 0.20
EX20, 00:23:02, 2.38, 0.22
EX20, 00:23:02, 2.38, 0.23
EX20, 00:23:02, 2.38, 0.24
EX20, 00:23:03, 2.38, 0.26
EX20, 00:23:03, 2.38, 0.27
EX20, 00:23:03, 2.38, 0.29
EX20, 00:23:03, 2.38, 0.30
EX20, 00:23:03, 2.38, 0.32
EX20, 00:23:03, 2.15, 0.33
EX20, 00:23:03, 2.15, 0.35
EX20, 00:23:03, 2.15, 0.37
EX20, 00:23:04, 2.15, 0.38
EX20, 00:23:04, 2.15, 0.40
EX20, 00:23:04, 2.15, 0.42
EX20, 00:23:04, 2.15, 0.43
EX20, 00:23:04, 2.15, 0.45
EX20, 00:23:04, 1.89, 0.47
EX20, 00:23:04, 1.89, 0.49
