# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 300.00","surface"]}

dive: 1.8, 0.30, 30.00, 300.00
EX20, 00:09:13, 0.00, 0.02
EX20, 00:09:13, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:14, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:15, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:16, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:17, 0.19, -0.10
EX20, 00:09:18, 0.19, -0.10

EX20, 00:09:18, 0.19, -0.10
EX20, 00:09:18, 0.19, -0.10
EX20, 00:09:18, 0.19, -0.10
EX20, 00:09:18, 0.19, -0.10
EX20, 00:09:18, 0.19, -0.10
EX20, 00:09:18, 0.19, -0.10
EX20, 00:09:18, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:19, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:20, 0.19, -0.10
EX20, 00:09:21, 0.19, -0.10
EX20, 00:09:21, 0.19, -0.10
EX20, 00:09:21, 0.19, -0.10
EX20, 00:09:21, 0.19, -0.10
EX20, 00:09:21, 0.19, -0.10
EX20, 00:09:21, 0.19, -0.10
EX20, 00:09:21, 0.19, -0.10
EX20, 00:09:22, 0.19, -0.10
EX20, 00:09:22, 0.19, -0.10
EX20, 00:09:22, 0.19, -0.10
EX20, 00:09:22, 0.19, -0.10
EX20, 00:09:22, 0.19, -0.09

EX20, 00:09:22, 0.19, -0.09
EX20, 00:09:22, 0.19, -0.09
EX20, 00:09:22, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:23, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:24, 0.19, -0.09
EX20, 00:09:25, 0.19, -0.09
EX20, 00:09:25, 0.19, -0.09
EX20, 00:09:25, 0.19, -0.09
EX20, 00:09:25, 0.19, -0.09
EX20, 00:09:25, 0.19, -0.09
EX20, 00:09:25, 0.19, -0.08
EX20, 00:09:25, 0.19, -0.08
EX20, 00:09:25, 0.19, -0.08
EX20, 00:09:26, 0.19, -0.08
EX20, 00:09:26, 0.19, -0.08
EX20, 00:09:26, 0.19, -0.08
EX20, 00:09:26, 0.19, -0.08
EX20, 00:09:26, 0.19, -0.07
EX20, 00:09:26, 0.19, -0.07
EX20, 00:09:26, 0.19, -0.07
EX20, 00:09:26, 0.19, -0.07

EX20, 00:09:27, 0.19, -0.07
EX20, 00:09:27, 0.19, -0.06
EX20, 00:09:27, 0.19, -0.06
EX20, 00:09:27, 0.19, -0.06
EX20, 00:09:27, 0.19, -0.05
EX20, 00:09:27, 0.19, -0.05
EX20, 00:09:27, 0.19, -0.04
EX20, 00:09:27, 0.19, -0.04
EX20, 00:09:28, 0.18, -0.04
EX20, 00:09:28, 0.18, -0.03
EX20, 00:09:28, 0.18, -0.03
EX20, 00:09:28, 0.18, -0.02
EX20, 00:09:28, 0.18, -0.02
EX20, 00:09:28, 0.18, -0.01
EX20, 00:09:28, 0.18, -0.01
EX20, 00:09:29, 0.18, -0.00
EX20, 00:09:29, 0.18, 0.01
EX20, 00:09:29, 0.18, 0.01
EX20, 00:09:29, 0.18, 0.02
EX20, 00:09:29, 0.18, 0.03
EX20, 00:09:29, 0.18, 0.03
EX20, 00:09:29, 0.18, 0.04
EX20, 00:09:29, 0.18, 0.05
EX20, 00:09:30, 0.18, 0.06
EX20, 00:09:30, 0.17, 0.07
EX20, 00:09:30, 0.17, 0.08
EX20, 00:09:30, 0.17, 0.08
EX20, 00:09:30, 0.17, 0.09
EX20, 00:09:30, 0.17, 0.10
EX20, 00:09:30, 0.17, 0.11
EX20, 00:09:30, 0.17, 0.12
EX20, 00:09:31, 0.17, 0.14
EX20, 00:09:31, 0.17, 0.15
EX20, 00:09:31, 0.17, 0.16
EX20, 00:09:31, 0.17, 0.17
EX20, 00:09:31, 0.17, 0.18

EX20, 00:09:31, 0.17, 0.20
EX20, 00:09:31, 0.17, 0.21
EX20, 00:09:31, 0.17, 0.22
EX20, 00:09:32, 0.17, 0.24
EX20, 00:09:32, 0.16, 0.25
EX20, 00:09:32, 0.16, 0.26
