# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["led: 25, 25, 25","dive: 0.0, 0.3, 150.00, 300.00","led: 25, 0, 25"]}

led: 25, 25, 25
EX20, 00:03:53, nan, -0.08


# dive: 0.0, 0.3, 150.00, 300.00
EX20, 00:03:53, nan, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:54, 0.00, -0.08
EX20, 00:03:55, 0.00, -0.08
EX20, 00:03:55, 0.00, -0.08
EX20, 00:03:55, 0.00, -0.08
EX20, 00:03:55, 0.00, -0.08
EX20, 00:03:55, 0.00, -0.08
EX20, 00:03:55, 0.00, -0.08
EX20, 00:03:55, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:56, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:57, 0.00, -0.08
EX20, 00:03:58, 0.00, -0.08
EX20, 00:03:58, 0.00, -0.08
EX20, 00:03:58, 0.00, -0.08

EX20, 00:03:58, 0.00, -0.08
EX20, 00:03:58, 0.00, -0.08
EX20, 00:03:58, 0.00, -0.08
EX20, 00:03:58, 0.00, -0.08
EX20, 00:03:58, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:03:59, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:00, 0.00, -0.08
EX20, 00:04:01, 0.00, -0.08
EX20, 00:04:01, 0.00, -0.08
EX20, 00:04:01, 0.00, -0.08
EX20, 00:04:01, 0.00, -0.08
EX20, 00:04:01, 0.00, -0.08
EX20, 00:04:01, 0.00, -0.08
EX20, 00:04:01, 0.00, -0.08
EX20, 00:04:02, 0.00, -0.08
EX20, 00:04:02, 0.00, -0.08
EX20, 00:04:02, 0.00, -0.08
EX20, 00:04:02, 0.00, -0.08
EX20, 00:04:02, 0.00, -0.08
EX20, 00:04:02, 0.00, -0.08
EX20, 00:04:02, 0.00, -0.08

EX20, 00:04:02, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:03, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:04, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:05, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:06, 0.00, -0.08
EX20, 00:04:07, 0.00, -0.08
EX20, 00:04:07, 0.00, -0.08

EX20, 00:04:07, 0.00, -0.08
EX20, 00:04:07, 0.00, -0.08
EX20, 00:04:07, 0.00, -0.08
