# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.30, 30.00, 300.00","surface"]}

dive: 2, 0.30, 30.00, 300.00
EX20, 00:03:29, nan, -0.07
EX20, 00:03:29, nan, -0.07
EX20, 00:03:29, nan, -0.07
EX20, 00:03:29, nan, -0.07
EX20, 00:03:29, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:30, nan, -0.07
EX20, 00:03:31, nan, -0.07
EX20, 00:03:31, nan, -0.07
EX20, 00:03:31, nan, -0.07
EX20, 00:03:31, nan, -0.07
EX20, 00:03:31, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:32, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:33, nan, -0.07
EX20, 00:03:34, nan, -0.07
EX20, 00:03:34, nan, -0.07
EX20, 00:03:34, nan, -0.07

