# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["led: 25, 25, 25","dive: 2.0, 0.30, 30.00, 300.00"]}

led: 25, 25, 25
EX20, 00:01:23, nan, -0.07
EX20, 00:01:23, nan, -0.07
EX20, 00:01:23, nan, -0.07
EX20, 00:01:23, nan, -0.07
EX20, 00:01:23, nan, -0.07
EX20, 00:01:23, nan, -0.07
EX20, 00:01:23, nan, -0.07
EX20, 00:01:23, nan, -0.07
EX20, 00:01:24, nan, -0.07
EX20, 00:01:24, nan, -0.07


# dive: 2.0, 0.30, 30.00, 300.00
EX20, 00:01:24, nan, -0.08
EX20, 00:01:24, nan, -0.08
EX20, 00:01:25, nan, -0.08
EX20, 00:01:25, nan, -0.08
EX20, 00:01:25, nan, -0.07
EX20, 00:01:25, nan, -0.08
EX20, 00:01:25, nan, -0.07
EX20, 00:01:25, nan, -0.07
EX20, 00:01:25, nan, -0.07
EX20, 00:01:25, nan, -0.07
EX20, 00:01:26, nan, -0.07
EX20, 00:01:26, nan, -0.07
EX20, 00:01:26, nan, -0.07
EX20, 00:01:26, nan, -0.07
EX20, 00:01:26, nan, -0.07
EX20, 00:01:26, nan, -0.07
EX20, 00:01:26, nan, -0.07
EX20, 00:01:26, nan, -0.08
EX20, 00:01:27, nan, -0.08
EX20, 00:01:27, nan, -0.07
EX20, 00:01:27, nan, -0.07
EX20, 00:01:27, nan, -0.07
EX20, 00:01:27, nan, -0.07
EX20, 00:01:27, nan, -0.07
EX20, 00:01:27, nan, -0.07
EX20, 00:01:27, nan, -0.07
EX20, 00:01:28, nan, -0.07
EX20, 00:01:28, nan, -0.07
EX20, 00:01:28, nan, -0.07
EX20, 00:01:28, nan, -0.07
EX20, 00:01:28, nan, -0.07
EX20, 00:01:28, nan, -0.07
EX20, 00:01:28, nan, -0.07
EX20, 00:01:29, nan, -0.07
EX20, 00:01:29, nan, -0.07
EX20, 00:01:29, nan, -0.07
EX20, 00:01:29, nan, -0.07

EX20, 00:01:29, nan, -0.07
EX20, 00:01:29, nan, -0.07
EX20, 00:01:29, nan, -0.07
EX20, 00:01:29, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:30, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:31, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:32, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:33, nan, -0.07
EX20, 00:01:34, nan, -0.07

EX20, 00:01:34, nan, -0.07
EX20, 00:01:34, nan, -0.07
EX20, 00:01:34, nan, -0.07
EX20, 00:01:34, nan, -0.07
EX20, 00:01:34, nan, -0.07
EX20, 00:01:34, nan, -0.07
EX20, 00:01:34, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:35, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:36, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:37, nan, -0.07
EX20, 00:01:38, nan, -0.07
EX20, 00:01:38, nan, -0.07
EX20, 00:01:38, nan, -0.07
EX20, 00:01:38, nan, -0.07
EX20, 00:01:38, nan, -0.07
EX20, 00:01:38, nan, -0.07

EX20, 00:01:38, nan, -0.07
EX20, 00:01:38, nan, -0.07
EX20, 00:01:39, nan, -0.07
EX20, 00:01:39, nan, -0.07
EX20, 00:01:39, nan, -0.07
EX20, 00:01:39, nan, -0.07
EX20, 00:01:39, nan, -0.07
EX20, 00:01:39, nan, -0.07
EX20, 00:01:39, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:40, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:41, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:42, nan, -0.07
EX20, 00:01:43, nan, -0.07
EX20, 00:01:43, nan, -0.07
EX20, 00:01:43, nan, -0.07
EX20, 00:01:43, nan, -0.07

EX20, 00:01:43, nan, -0.07
EX20, 00:01:43, nan, -0.07
EX20, 00:01:43, nan, -0.07
EX20, 00:01:43, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:44, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:45, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:46, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:47, nan, -0.07
EX20, 00:01:48, nan, -0.07

EX20, 00:01:48, nan, -0.07
EX20, 00:01:48, nan, -0.07
EX20, 00:01:48, nan, -0.07
EX20, 00:01:48, nan, -0.07
EX20, 00:01:48, nan, -0.07
EX20, 00:01:48, nan, -0.07
EX20, 00:01:48, nan, -0.07
EX20, 00:01:49, nan, -0.07
EX20, 00:01:49, nan, -0.07
EX20, 00:01:49, nan, -0.07
EX20, 00:01:49, nan, -0.07
EX20, 00:01:49, nan, -0.07
EX20, 00:01:49, nan, -0.07
EX20, 00:01:49, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:50, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:51, nan, -0.07
EX20, 00:01:52, nan, -0.07
EX20, 00:01:52, nan, -0.07
EX20, 00:01:52, nan, -0.07
EX20, 00:01:52, nan, -0.07
EX20, 00:01:52, nan, -0.07
EX20, 00:01:52, nan, -0.07
EX20, 00:01:52, nan, -0.07

EX20, 00:01:52, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:53, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:54, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:55, nan, -0.07
EX20, 00:01:56, nan, -0.07
EX20, 00:01:56, nan, -0.07
EX20, 00:01:56, nan, -0.07
EX20, 00:01:56, nan, -0.08
EX20, 00:01:56, nan, -0.08
EX20, 00:01:56, nan, -0.08
EX20, 00:01:56, nan, -0.08
EX20, 00:01:56, nan, -0.08
EX20, 00:01:57, nan, -0.08
EX20, 00:01:57, nan, -0.08
EX20, 00:01:57, nan, -0.08
EX20, 00:01:57, nan, -0.08

EX20, 00:01:57, nan, -0.08
EX20, 00:01:57, nan, -0.08
EX20, 00:01:57, nan, -0.08
EX20, 00:01:57, nan, -0.08
EX20, 00:01:58, nan, -0.08
EX20, 00:01:58, nan, -0.08
EX20, 00:01:58, nan, -0.08
EX20, 00:01:58, nan, -0.08
EX20, 00:01:58, nan, -0.07
EX20, 00:01:58, nan, -0.08
EX20, 00:01:58, nan, -0.08
EX20, 00:01:58, nan, -0.08
EX20, 00:01:59, nan, -0.08
EX20, 00:01:59, nan, -0.08
EX20, 00:01:59, nan, -0.07
EX20, 00:01:59, nan, -0.08
EX20, 00:01:59, nan, -0.07
EX20, 00:01:59, nan, -0.07
EX20, 00:01:59, nan, -0.07
EX20, 00:01:59, nan, -0.07
EX20, 00:02:00, nan, -0.07
EX20, 00:02:00, nan, -0.07
EX20, 00:02:00, nan, -0.07
EX20, 00:02:00, nan, -0.07
EX20, 00:02:00, nan, -0.07
EX20, 00:02:00, nan, -0.07
EX20, 00:02:00, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:01, nan, -0.07
EX20, 00:02:02, nan, -0.07
EX20, 00:02:02, nan, -0.07

