# 
{"kP":"8","kD":"250","kI":"0","density":"997","profile":["led: 25, 25, 25"]}

led: 25, 25, 25
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:25, nan, -0.07


# profile complete
