# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2.0, 0.30, 30.00, 400.00"]}

dive: 2.0, 0.30, 30.00, 400.00
EX20, 00:03:23, 100.60, -0.07
EX20, 00:03:23, 100.66, -0.07
EX20, 00:03:23, 100.66, -0.07
EX20, 00:03:23, 100.67, -0.06
EX20, 00:03:23, 100.67, -0.06
EX20, 00:03:23, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:24, 100.67, -0.06
EX20, 00:03:25, 100.67, -0.06
EX20, 00:03:25, 100.67, -0.06
EX20, 00:03:25, 100.67, -0.06
EX20, 00:03:25, 100.67, -0.06
EX20, 00:03:25, 100.68, -0.06
EX20, 00:03:25, 100.68, -0.06
EX20, 00:03:25, 100.68, -0.06
EX20, 00:03:26, 100.68, -0.06
EX20, 00:03:26, 100.68, -0.06
EX20, 00:03:26, 100.68, -0.06
EX20, 00:03:26, 100.68, -0.06
EX20, 00:03:26, 100.68, -0.06
EX20, 00:03:26, 100.72, -0.06
EX20, 00:03:26, 100.75, -0.06
EX20, 00:03:26, 100.81, -0.05
EX20, 00:03:27, 100.82, -0.05
EX20, 00:03:27, 100.85, -0.05
EX20, 00:03:27, 100.89, -0.04
EX20, 00:03:27, 100.92, -0.04

EX20, 00:03:27, 100.95, -0.04
EX20, 00:03:27, 101.00, -0.03
EX20, 00:03:27, 101.05, -0.03
EX20, 00:03:27, 101.09, -0.02
EX20, 00:03:28, 101.13, -0.02
EX20, 00:03:28, 101.19, -0.01
EX20, 00:03:28, 101.25, -0.01
EX20, 00:03:28, 101.31, 0.00
EX20, 00:03:28, 101.37, 0.01
EX20, 00:03:28, 101.44, 0.01
EX20, 00:03:28, 101.51, 0.02
EX20, 00:03:28, 101.59, 0.03
EX20, 00:03:29, 101.67, 0.04
EX20, 00:03:29, 101.74, 0.05
EX20, 00:03:29, 101.82, 0.05
EX20, 00:03:29, 101.91, 0.06
EX20, 00:03:29, 102.00, 0.07
EX20, 00:03:29, 102.09, 0.08
EX20, 00:03:29, 102.19, 0.09
EX20, 00:03:29, 102.30, 0.10
EX20, 00:03:30, 102.40, 0.11
EX20, 00:03:30, 102.52, 0.13
EX20, 00:03:30, 102.64, 0.14
EX20, 00:03:30, 102.76, 0.15
EX20, 00:03:30, 102.90, 0.16
EX20, 00:03:30, 103.03, 0.18
EX20, 00:03:30, 103.17, 0.19
EX20, 00:03:30, 103.31, 0.21
EX20, 00:03:31, 103.46, 0.22
EX20, 00:03:31, 103.61, 0.24
EX20, 00:03:31, 103.76, 0.25
EX20, 00:03:31, 103.91, 0.27
EX20, 00:03:31, 104.08, 0.28
EX20, 00:03:31, 104.24, 0.30

EX20, 00:03:31, 104.40, 0.32
EX20, 00:03:31, 104.57, 0.33
EX20, 00:03:32, 104.74, 0.35
EX20, 00:03:32, 104.92, 0.37
EX20, 00:03:32, 105.11, 0.39
EX20, 00:03:32, 105.30, 0.41
EX20, 00:03:32, 105.49, 0.43
EX20, 00:03:32, 105.69, 0.45
EX20, 00:03:32, 105.90, 0.47
EX20, 00:03:32, 106.10, 0.49
EX20, 00:03:33, 106.31, 0.51
EX20, 00:03:33, 106.53, 0.53
EX20, 00:03:33, 106.74, 0.56
EX20, 00:03:33, 106.96, 0.58
EX20, 00:03:33, 107.18, 0.60
EX20, 00:03:33, 107.40, 0.62
EX20, 00:03:33, 107.63, 0.65
EX20, 00:03:33, 107.85, 0.67
EX20, 00:03:34, 108.08, 0.69
EX20, 00:03:34, 108.32, 0.72
EX20, 00:03:34, 108.56, 0.74
EX20, 00:03:34, 108.80, 0.77
EX20, 00:03:34, 109.04, 0.79
EX20, 00:03:34, 109.29, 0.82
EX20, 00:03:34, 109.55, 0.84
EX20, 00:03:34, 109.80, 0.87
EX20, 00:03:35, 110.06, 0.90
EX20, 00:03:35, 110.32, 0.92
EX20, 00:03:35, 110.58, 0.95
EX20, 00:03:35, 110.85, 0.98
EX20, 00:03:35, 111.12, 1.00
EX20, 00:03:35, 111.39, 1.03
EX20, 00:03:35, 111.66, 1.06
EX20, 00:03:35, 111.93, 1.09

EX20, 00:03:36, 112.19, 1.11
EX20, 00:03:36, 112.46, 1.14
EX20, 00:03:36, 112.74, 1.17
EX20, 00:03:36, 113.02, 1.20
EX20, 00:03:36, 113.30, 1.23
EX20, 00:03:36, 113.59, 1.26
EX20, 00:03:36, 113.86, 1.29
EX20, 00:03:36, 114.15, 1.31
EX20, 00:03:37, 114.43, 1.34
EX20, 00:03:37, 114.71, 1.37
EX20, 00:03:37, 115.00, 1.40
EX20, 00:03:37, 115.28, 1.43
EX20, 00:03:37, 115.56, 1.46
EX20, 00:03:37, 115.85, 1.49
EX20, 00:03:37, 116.13, 1.52
EX20, 00:03:38, 116.41, 1.55
EX20, 00:03:38, 116.70, 1.57
EX20, 00:03:38, 116.98, 1.60
EX20, 00:03:38, 117.27, 1.63
EX20, 00:03:38, 117.55, 1.66
EX20, 00:03:38, 117.83, 1.69
EX20, 00:03:38, 118.12, 1.72
EX20, 00:03:38, 118.41, 1.75
EX20, 00:03:39, 118.69, 1.78
EX20, 00:03:39, 118.98, 1.81
EX20, 00:03:39, 119.27, 1.84
EX20, 00:03:39, 119.55, 1.87
EX20, 00:03:39, 119.84, 1.90
EX20, 00:03:39, 120.14, 1.93
EX20, 00:03:39, 120.43, 1.96
EX20, 00:03:39, 120.71, 1.99
EX20, 00:03:40, 121.00, 2.02
EX20, 00:03:40, 121.29, 2.05
EX20, 00:03:40, 121.59, 2.07

EX20, 00:03:40, 121.85, 2.10
EX20, 00:03:40, 122.14, 2.13
