# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.30, 30.00, 300.00","surface"]}

dive: 2, 0.30, 30.00, 300.00
EX20, 00:00:53, 0.00, -0.10
EX20, 00:00:53, -1.00, -0.09
EX20, 00:00:53, -1.00, -0.09
EX20, 00:00:53, -1.00, -0.09
EX20, 00:00:53, -1.00, -0.09
EX20, 00:00:53, -1.00, -0.09
EX20, 00:00:53, -1.00, -0.09
EX20, 00:00:53, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:54, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:55, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:56, -1.00, -0.09
EX20, 00:00:57, -1.00, -0.09
EX20, 00:00:57, -1.00, -0.09

EX20, 00:00:57, -1.00, -0.09
EX20, 00:00:57, -1.00, -0.09
EX20, 00:00:57, -1.00, -0.09
EX20, 00:00:57, -1.00, -0.09
EX20, 00:00:57, -1.00, -0.09
EX20, 00:00:57, -1.00, -0.09
EX20, 00:00:58, -1.00, -0.09
EX20, 00:00:58, -1.00, -0.09
EX20, 00:00:58, -1.00, -0.09
EX20, 00:00:58, -1.00, -0.09
EX20, 00:00:58, -1.00, -0.09
EX20, 00:00:58, -1.00, -0.09
EX20, 00:00:58, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:00:59, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:00, -1.00, -0.09
EX20, 00:01:01, -1.00, -0.09
EX20, 00:01:01, -1.00, -0.09
EX20, 00:01:01, -1.00, -0.09
EX20, 00:01:01, -1.00, -0.09
EX20, 00:01:01, -1.00, -0.09

EX20, 00:01:01, -1.00, -0.09
EX20, 00:01:01, -1.00, -0.09
EX20, 00:01:01, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:02, -1.00, -0.09
EX20, 00:01:03, -1.00, -0.09
EX20, 00:01:03, -1.00, -0.09
EX20, 00:01:03, -1.00, -0.09
