# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.30, 30.00, 300.00","surface"]}

dive: -2, 0.30, 30.00, 300.00
EX20, 00:00:20, 0.00, -0.10
EX20, 00:00:20, 0.95, -0.10
EX20, 00:00:20, 0.95, -0.10
EX20, 00:00:20, 0.95, -0.10
EX20, 00:00:20, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:21, 0.95, -0.10
EX20, 00:00:22, 0.95, -0.10
EX20, 00:00:22, 0.95, -0.10
EX20, 00:00:22, 0.95, -0.10
EX20, 00:00:22, 0.95, -0.10
EX20, 00:00:22, 0.95, -0.10
EX20, 00:00:22, 0.95, -0.10
EX20, 00:00:22, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:23, 0.95, -0.10
EX20, 00:00:24, 0.95, -0.10
EX20, 00:00:24, 0.95, -0.10
EX20, 00:00:24, 0.95, -0.10
EX20, 00:00:24, 0.95, -0.10
EX20, 00:00:24, 0.95, -0.10
EX20, 00:00:24, 0.95, -0.10
EX20, 00:00:24, 0.95, -0.10

EX20, 00:00:24, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:25, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:26, 0.95, -0.10
EX20, 00:00:27, 0.95, -0.10
EX20, 00:00:27, 0.95, -0.10
EX20, 00:00:27, 0.95, -0.10
EX20, 00:00:27, 0.95, -0.10
EX20, 00:00:27, 0.95, -0.10
EX20, 00:00:27, 0.95, -0.10
EX20, 00:00:27, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
EX20, 00:00:28, 0.95, -0.10
