# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 0.5, 0.4, 15.00, 30.00"]}

dive: 0.5, 0.4, 15.00, 30.00
EX20, 00:02:30, -0.02, -0.10
EX20, 00:02:30, 0.03, -0.10
EX20, 00:02:30, 0.03, -0.10
EX20, 00:02:30, 0.03, -0.10
EX20, 00:02:30, 0.03, -0.10
EX20, 00:02:30, 0.03, -0.10
EX20, 00:02:30, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:31, 0.03, -0.10
EX20, 00:02:32, 0.03, -0.10
EX20, 00:02:32, 0.03, -0.10
EX20, 00:02:32, 0.03, -0.10
EX20, 00:02:32, 0.03, -0.10
EX20, 00:02:32, 0.03, -0.10
EX20, 00:02:32, 0.03, -0.10
EX20, 00:02:32, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:33, 0.03, -0.10
EX20, 00:02:34, 0.03, -0.10
EX20, 00:02:34, 0.03, -0.10
EX20, 00:02:34, 0.03, -0.10
EX20, 00:02:34, 0.03, -0.10
EX20, 00:02:34, 0.03, -0.10

EX20, 00:02:34, 0.03, -0.10
EX20, 00:02:34, 0.03, -0.10
EX20, 00:02:34, 0.03, -0.10
EX20, 00:02:35, 0.03, -0.10
EX20, 00:02:35, 0.03, -0.10
EX20, 00:02:35, 0.03, -0.10
EX20, 00:02:35, 0.03, -0.10
EX20, 00:02:35, 0.03, -0.10
EX20, 00:02:35, 0.03, -0.10
EX20, 00:02:35, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:36, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:37, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:38, 0.03, -0.10
EX20, 00:02:39, 0.03, -0.10

EX20, 00:02:39, 0.03, -0.10
EX20, 00:02:39, 0.03, -0.10
EX20, 00:02:39, 0.03, -0.10
EX20, 00:02:39, 0.03, -0.10
EX20, 00:02:39, 0.03, -0.10
EX20, 00:02:39, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:40, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:41, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:42, 0.03, -0.10
EX20, 00:02:43, 0.03, -0.10
