# 
{"kP":"5","kD":"0","kI":"0","density":"997","profile":["led: 156,17,242","","dive: 02.0, 0.30, 003.00, 300.00"]}

led: 156,17,242
EX20, 00:04:04, 100.60, -0.07


# 
EX20, 00:04:05, 100.67, -0.06
EX20, 00:04:05, 100.67, -0.06
EX20, 00:04:05, 100.67, -0.06
EX20, 00:04:05, 100.68, -0.06
EX20, 00:04:05, 100.68, -0.06
EX20, 00:04:05, 100.68, -0.06
EX20, 00:04:05, 100.68, -0.06
EX20, 00:04:05, 100.68, -0.06
EX20, 00:04:06, 100.68, -0.06
EX20, 00:04:06, 100.68, -0.06
EX20, 00:04:06, 100.68, -0.06
EX20, 00:04:06, 100.68, -0.06
EX20, 00:04:06, 100.68, -0.06
EX20, 00:04:06, 100.69, -0.06
EX20, 00:04:06, 100.68, -0.06
EX20, 00:04:06, 100.68, -0.06
EX20, 00:04:07, 100.68, -0.06
EX20, 00:04:07, 100.69, -0.06
EX20, 00:04:07, 100.68, -0.06
EX20, 00:04:07, 100.68, -0.06
EX20, 00:04:07, 100.69, -0.06
EX20, 00:04:07, 100.68, -0.06
EX20, 00:04:07, 100.68, -0.06
EX20, 00:04:07, 100.69, -0.06
EX20, 00:04:08, 100.68, -0.06
EX20, 00:04:08, 100.68, -0.06
EX20, 00:04:08, 100.69, -0.06
EX20, 00:04:08, 100.68, -0.06
EX20, 00:04:08, 100.68, -0.06
EX20, 00:04:08, 100.68, -0.06
EX20, 00:04:08, 100.68, -0.06
EX20, 00:04:08, 100.68, -0.06
EX20, 00:04:09, 100.68, -0.06

EX20, 00:04:09, 100.68, -0.06
EX20, 00:04:09, 100.68, -0.06
EX20, 00:04:09, 100.68, -0.06
EX20, 00:04:09, 100.69, -0.06
EX20, 00:04:09, 100.68, -0.06
EX20, 00:04:09, 100.68, -0.06
EX20, 00:04:09, 100.68, -0.06
EX20, 00:04:10, 100.68, -0.06
EX20, 00:04:10, 100.68, -0.06
EX20, 00:04:10, 100.68, -0.06
EX20, 00:04:10, 100.68, -0.06
EX20, 00:04:10, 100.68, -0.06
EX20, 00:04:10, 100.68, -0.06
EX20, 00:04:10, 100.69, -0.06
EX20, 00:04:10, 100.68, -0.06
EX20, 00:04:11, 100.68, -0.06
EX20, 00:04:11, 100.68, -0.06
EX20, 00:04:11, 100.68, -0.06
EX20, 00:04:11, 100.68, -0.06
EX20, 00:04:11, 100.69, -0.06
EX20, 00:04:11, 100.68, -0.06
EX20, 00:04:11, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:12, 100.68, -0.06
EX20, 00:04:13, 100.68, -0.06
EX20, 00:04:13, 100.68, -0.06
EX20, 00:04:13, 100.69, -0.06

EX20, 00:04:13, 100.68, -0.06
EX20, 00:04:13, 100.68, -0.06
EX20, 00:04:13, 100.68, -0.06
EX20, 00:04:13, 100.68, -0.06
EX20, 00:04:13, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:14, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:15, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:16, 100.68, -0.06
EX20, 00:04:17, 100.68, -0.06
EX20, 00:04:17, 100.68, -0.06
EX20, 00:04:17, 100.68, -0.06
EX20, 00:04:17, 100.68, -0.06

EX20, 00:04:17, 100.68, -0.06
EX20, 00:04:17, 100.68, -0.06
EX20, 00:04:17, 100.68, -0.06
EX20, 00:04:17, 100.68, -0.06
EX20, 00:04:18, 100.68, -0.06
EX20, 00:04:18, 100.69, -0.06
EX20, 00:04:18, 100.68, -0.06
EX20, 00:04:18, 100.68, -0.06
EX20, 00:04:18, 100.68, -0.06
EX20, 00:04:18, 100.74, -0.06
EX20, 00:04:18, 100.74, -0.06
EX20, 00:04:18, 100.76, -0.05
EX20, 00:04:19, 100.78, -0.05
EX20, 00:04:19, 100.80, -0.05
EX20, 00:04:19, 100.81, -0.05
EX20, 00:04:19, 100.83, -0.05
EX20, 00:04:19, 100.85, -0.05
EX20, 00:04:19, 100.86, -0.04
EX20, 00:04:19, 100.87, -0.04
EX20, 00:04:19, 100.88, -0.04
EX20, 00:04:20, 100.89, -0.04
EX20, 00:04:20, 100.90, -0.04
EX20, 00:04:20, 100.92, -0.04
EX20, 00:04:20, 100.93, -0.04
EX20, 00:04:20, 100.93, -0.04
EX20, 00:04:20, 100.94, -0.04
EX20, 00:04:20, 100.94, -0.04
EX20, 00:04:20, 100.95, -0.04
EX20, 00:04:21, 100.95, -0.04
EX20, 00:04:21, 100.94, -0.04
EX20, 00:04:21, 100.93, -0.04
EX20, 00:04:21, 100.92, -0.04
EX20, 00:04:21, 100.91, -0.04

EX20, 00:04:21, 100.90, -0.04
EX20, 00:04:21, 100.89, -0.04
EX20, 00:04:21, 100.88, -0.04
EX20, 00:04:22, 100.86, -0.04
EX20, 00:04:22, 100.86, -0.05
EX20, 00:04:22, 100.85, -0.05
EX20, 00:04:22, 100.83, -0.05
EX20, 00:04:22, 100.82, -0.05
EX20, 00:04:22, 100.80, -0.05
EX20, 00:04:22, 100.79, -0.05
EX20, 00:04:22, 100.79, -0.05
EX20, 00:04:23, 100.78, -0.05
EX20, 00:04:23, 100.76, -0.06
EX20, 00:04:23, 100.75, -0.06
EX20, 00:04:23, 100.73, -0.06
EX20, 00:04:23, 100.72, -0.06
EX20, 00:04:23, 100.71, -0.06
EX20, 00:04:23, 100.70, -0.06
EX20, 00:04:23, 100.69, -0.06
EX20, 00:04:24, 100.68, -0.06
EX20, 00:04:24, 100.68, -0.06
EX20, 00:04:24, 100.70, -0.06
EX20, 00:04:24, 100.69, -0.06
EX20, 00:04:24, 100.71, -0.06
EX20, 00:04:24, 100.72, -0.06
EX20, 00:04:24, 100.71, -0.06
EX20, 00:04:24, 100.73, -0.06
EX20, 00:04:25, 100.75, -0.06
EX20, 00:04:25, 100.76, -0.05
EX20, 00:04:25, 100.78, -0.05
EX20, 00:04:25, 100.79, -0.05
EX20, 00:04:25, 100.79, -0.05
EX20, 00:04:25, 100.80, -0.05

EX20, 00:04:25, 100.81, -0.05
EX20, 00:04:26, 100.81, -0.05
EX20, 00:04:26, 100.80, -0.05
EX20, 00:04:26, 100.80, -0.05
EX20, 00:04:26, 100.80, -0.05
EX20, 00:04:26, 100.80, -0.05
EX20, 00:04:26, 100.80, -0.05
EX20, 00:04:26, 100.79, -0.05
EX20, 00:04:26, 100.78, -0.05
EX20, 00:04:27, 100.78, -0.05
EX20, 00:04:27, 100.78, -0.05
EX20, 00:04:27, 100.77, -0.05
EX20, 00:04:27, 100.77, -0.05
EX20, 00:04:27, 100.77, -0.05
EX20, 00:04:27, 100.75, -0.06
EX20, 00:04:27, 100.75, -0.06
EX20, 00:04:27, 100.74, -0.06
EX20, 00:04:28, 100.74, -0.06
EX20, 00:04:28, 100.74, -0.06
EX20, 00:04:28, 100.73, -0.06
EX20, 00:04:28, 100.73, -0.06
EX20, 00:04:28, 100.72, -0.06
EX20, 00:04:28, 100.72, -0.06
EX20, 00:04:28, 100.72, -0.06
EX20, 00:04:28, 100.72, -0.06
EX20, 00:04:29, 100.72, -0.06
EX20, 00:04:29, 100.73, -0.06
EX20, 00:04:29, 100.74, -0.06
EX20, 00:04:29, 100.74, -0.06
EX20, 00:04:29, 100.75, -0.06
EX20, 00:04:29, 100.75, -0.06
EX20, 00:04:29, 100.76, -0.06
EX20, 00:04:29, 100.77, -0.05

EX20, 00:04:30, 100.77, -0.05
